,coefficient,m/z,RT1,RT2,RT1_center,RT2_center,samples,feature_index,class
157,0.017787084871332792,171.0,"[5700.496,5749.552]","[1.4,1.008]",5725.024,1.2,"Jarosite, GSFC, LON 94101, Jbilet Winselwan, LEW 85311",4438,0
158,0.017737141123977368,42.0,"[9856.24,9856.24]","[1.096,1.048]",9856.24,1.072,"Green R. Shale, GSFC, Murchison Soil",360,1
159,-0.017709695016560358,160.0,"[4778.944,4824.496]","[1.2,1.112]",4799.968,1.152,"ALH 83100, LON 94101, Murchison",4018,0
160,-0.017699435419574073,153.0,"[5248.48,5294.032]","[2.192,1.56]",5273.008,1.88,"LON 94101, EET 96029",3809,0
161,-0.017496324925391764,139.0,"[5244.976,5294.032]","[2.192,1.2]",5269.504,1.696,"Jbilet Winselwan, LEW 85311, EET 96029",3173,0
162,-0.017433108423958878,152.0,"[5630.416,5672.464]","[1.688,1.2]",5651.44,1.448,"Orgueil, ALH 83100, LON 94101, Jbilet Winselwan, LEW 85311",3769,0
163,-0.017433108423958878,141.0,"[5633.92,5654.944]","[1.504,1.144]",5644.432,1.328,"Orgueil, ALH 83100, LON 94101, Jbilet Winselwan, LEW 85311",3265,0
164,-0.017433108423958878,154.0,"[5178.4,5202.928]","[1.848,1.28]",5192.416,1.568,"Orgueil, ALH 83100, LON 94101, Jbilet Winselwan, LEW 85311",3858,0
165,0.01728424206397869,56.0,"[8332.0,8367.04]","[1.112,1.088]",8349.52,1.104,"Rio Tinto, GSFC",567,1
166,0.01718646524778029,172.0,"[5742.544,5777.584]","[1.216,1.032]",5760.064,1.12,"Jarosite, LEW 85311",4517,0
167,0.01718646524778029,161.0,"[5322.064,5360.608]","[1.56,1.136]",5339.584,1.352,"Jarosite, LEW 85311",4069,0
168,0.01718646524778029,159.0,"[5735.536,5763.568]","[1.032,1.016]",5749.552,1.024,"Jarosite, LEW 85311",3965,0
169,0.016953969535772558,216.0,"[5742.544,5791.6]","[1.04,1.024]",5767.072,1.032,"Jarosite, Orgueil",6000,0
170,0.01688284310057897,245.0,"[7224.736,7231.744]","[1.168,1.008]",7228.24,1.088,"Antarctica, Lignite, Murchison Soil",6905,1
171,0.016683306805088578,62.0,"[5490.256,5507.776]","[1.288,1.024]",5497.264,1.16,"Iceland, Atacama, Murchison Soil, Jbilet Winselwan",684,1
172,0.016330404412114488,172.0,"[9751.12,9793.168]","[1.488,1.264]",9772.144,1.376,"Antarctica, Rio Tinto",4579,1
173,0.016320236547541667,42.0,"[9071.344,9074.848]","[1.104,1.08]",9074.848,1.096,"Atacama, Green R. Shale, Rio Tinto, Lignite",356,1
174,0.016310725417798624,63.0,"[5718.016,5763.568]","[1.6,1.04]",5742.544,1.32,"Jarosite, Green R. Shale, Lignite, Jbilet Winselwan",740,1
175,0.016310725417798624,129.0,"[5714.512,5763.568]","[1.6,1.04]",5739.04,1.32,"Jarosite, Green R. Shale, Lignite, Jbilet Winselwan",2841,1
176,0.01628223066364592,39.0,"[5490.256,5497.264]","[1.288,1.032]",5493.76,1.16,"Iceland, Atacama",244,1
177,0.01628223066364592,127.0,"[5490.256,5490.256]","[1.28,1.016]",5490.256,1.152,"Iceland, Atacama",2749,1
178,0.01628223066364592,92.0,"[5490.256,5490.256]","[1.288,1.016]",5490.256,1.152,"Iceland, Atacama",1528,1
